User full name,Event context,Component,Event name,Description,Origin,IP address,loop time,date
s4,File: Bifurcation+Chaos Recorded Lecture 2,File,Course module viewed,The user with id 's4' viewed the 'resource' activity with course module id '1549988'.,web,172.17.42.86,15:18,15/03/2021
s4,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's4' viewed the course with id '48726'.,web,172.17.42.30,15:18,15/03/2021
s4,User: s4,System,Dashboard viewed,The user with id 's4' has viewed their dashboard,web,172.17.42.86,15:18,15/03/2021
s4,System,System,User has logged in,The user with id 's4' has logged in.,web,172.17.42.217,15:18,15/03/2021
s4,User: s4,System,Dashboard viewed,The user with id 's4' has viewed their dashboard,web,172.17.42.237,09:51,14/03/2021
s4,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's4' viewed the course with id '48726'.,web,172.17.42.217,09:49,14/03/2021
s4,File: CA4025 Essay Topic: Can AI police ‘Big Tech’?,File,Course module viewed,The user with id 's4' viewed the 'resource' activity with course module id '1508323'.,web,172.17.42.86,08:52,14/03/2021
s4,Course: 2020/2021 CA4025 Application Domains 3,System,Course viewed,The user with id 's4' viewed the course with id '48916'.,web,172.17.42.217,08:43,14/03/2021
s4,User: s4,System,Dashboard viewed,The user with id 's4' has viewed their dashboard,web,172.17.42.217,08:43,14/03/2021
s4,System,System,User has logged in,The user with id 's4' has logged in.,web,172.17.42.71,08:43,14/03/2021
s4,System,System,Web service function called,The web service function 'tool_mobile_call_external_functions' has been called.,ws,172.17.42.175,16:02,08/03/2021
s4,System,System,Web service function called,The web service function 'message_popup_get_unread_popup_notification_count' has been called.,ws,172.17.42.119,16:02,08/03/2021
s4,Front page,System,Course viewed,The user with id 's4' viewed the course with id '1'.,ws,172.17.42.195,16:01,08/03/2021
s4,System,System,Web service function called,The web service function 'core_course_view_course' has been called.,ws,172.17.42.195,16:01,08/03/2021
s4,System,System,Web service function called,The web service function 'tool_mobile_call_external_functions' has been called.,ws,172.17.42.36,15:57,08/03/2021
s4,Quiz: CA4024 Continuous Assessment Quiz,Quiz,Quiz attempt reviewed,The user with id 's4' has had their attempt with id '1241415' reviewed by the user with id 's4' for the quiz with course module id '1530193'.,ws,172.17.42.195,15:56,08/03/2021
s4,System,System,Web service function called,The web service function 'mod_quiz_view_attempt_review' has been called.,ws,172.17.42.195,15:56,08/03/2021
s4,System,System,Web service function called,The web service function 'mod_quiz_get_attempt_review' has been called.,ws,172.17.42.195,15:56,08/03/2021
s4,Front page,System,Course viewed,The user with id 's4' viewed the course with id '1'.,ws,172.17.42.252,15:56,08/03/2021
s4,System,System,Web service function called,The web service function 'tool_mobile_call_external_functions' has been called.,ws,172.17.42.195,15:56,08/03/2021
s4,System,System,Web service function called,The web service function 'core_course_view_course' has been called.,ws,172.17.42.252,15:56,08/03/2021
s4,Quiz: CA4024 Continuous Assessment Quiz,Quiz,Course module viewed,The user with id 's4' viewed the 'quiz' activity with course module id '1530193'.,ws,172.17.42.195,15:41,08/03/2021
s4,System,System,Web service function called,The web service function 'mod_quiz_view_quiz' has been called.,ws,172.17.42.195,15:41,08/03/2021
s4,System,System,Web service function called,The web service function 'tool_mobile_call_external_functions' has been called.,ws,172.17.42.36,15:41,08/03/2021
s4,System,System,Web service function called,The web service function 'mod_quiz_get_user_attempts' has been called.,ws,172.17.42.252,15:41,08/03/2021
s4,System,System,Web service function called,The web service function 'mod_quiz_get_attempt_access_information' has been called.,ws,172.17.42.195,15:41,08/03/2021
