User full name,Event context,Component,Event name,Description,Origin,IP address,loop time,date
s6,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's6' viewed the course with id '48726'.,web,172.17.42.228,14:07,17/03/2021
s6,Quiz: CA659 Lecture 6: Discrete Part 1 Quiz,Quiz,Course module viewed,The user with id 's6' viewed the 'quiz' activity with course module id '1541491'.,web,172.17.42.228,14:07,17/03/2021
s6,Quiz: CA659 Lecture 6: Discrete Part 1 Quiz,Quiz,Quiz attempt reviewed,The user with id 's6' has had their attempt with id '1257042' reviewed by the user with id 's6' for the quiz with course module id '1541491'.,web,172.17.42.237,14:07,17/03/2021
s6,Quiz: CA659 Lecture 6: Discrete Part 1 Quiz,Quiz,Quiz attempt submitted,The user with id 's6' has submitted the attempt with id '1257042' for the quiz with course module id '1541491'.,web,172.17.42.30,14:07,17/03/2021
s6,Course: 2020/2021 CA4024 Building Complex Computational Models,System,User graded,The user with id 's6' updated the grade with id '29983772' for the user with id 's6' for the grade item with id '304575'.,web,172.17.42.30,14:07,17/03/2021
s6,Quiz: CA659 Lecture 6: Discrete Part 1 Quiz,Quiz,Quiz attempt summary viewed,The user with id 's6' has viewed the summary for the attempt with id '1257042' belonging to the user with id 's6' for the quiz with course module id '1541491'.,web,172.17.42.71,14:07,17/03/2021
s6,Quiz: CA659 Lecture 6: Discrete Part 1 Quiz,Quiz,Quiz attempt viewed,The user with id 's6' has viewed the attempt with id '1257042' belonging to the user with id 's6' for the quiz with course module id '1541491'.,web,172.17.42.30,14:07,17/03/2021
s6,Quiz: CA659 Lecture 6: Discrete Part 1 Quiz,Quiz,Quiz attempt viewed,The user with id 's6' has viewed the attempt with id '1257042' belonging to the user with id 's6' for the quiz with course module id '1541491'.,web,172.17.42.71,14:07,17/03/2021
s6,Quiz: CA659 Lecture 6: Discrete Part 1 Quiz,Quiz,Quiz attempt viewed,The user with id 's6' has viewed the attempt with id '1257042' belonging to the user with id 's6' for the quiz with course module id '1541491'.,web,172.17.42.217,14:07,17/03/2021
s6,Quiz: CA659 Lecture 6: Discrete Part 1 Quiz,Quiz,Quiz attempt viewed,The user with id 's6' has viewed the attempt with id '1257042' belonging to the user with id 's6' for the quiz with course module id '1541491'.,web,172.17.42.217,14:06,17/03/2021
s6,Quiz: CA659 Lecture 6: Discrete Part 1 Quiz,Quiz,Quiz attempt viewed,The user with id 's6' has viewed the attempt with id '1257042' belonging to the user with id 's6' for the quiz with course module id '1541491'.,web,172.17.42.228,14:06,17/03/2021
s6,Quiz: CA659 Lecture 6: Discrete Part 1 Quiz,Quiz,Quiz attempt viewed,The user with id 's6' has viewed the attempt with id '1257042' belonging to the user with id 's6' for the quiz with course module id '1541491'.,web,172.17.42.30,14:06,17/03/2021
s6,Quiz: CA659 Lecture 6: Discrete Part 1 Quiz,Quiz,Quiz attempt started,The user with id 's6' has started the attempt with id '1257042' for the quiz with course module id '1541491'.,web,172.17.42.30,14:06,17/03/2021
