User full name,Event context,Component,Event name,Description,Origin,IP address,loop time,date
s2,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's2' viewed the course with id '47567'.,web,172.17.42.71,21:43,16/03/2021
s2,User: s2,System,Dashboard viewed,The user with id 's2' has viewed their dashboard,web,172.17.42.202,21:42,16/03/2021
s2,System,System,User has logged in,The user with id 's2' has logged in.,web,172.17.42.237,21:42,16/03/2021
s2,File: CA4025 Essay Topic: Can AI police ?Big Tech??,File,Course module viewed,The user with id 's2' viewed the 'resource' activity with course module id '1508323'.,web,172.17.42.202,18:47,14/03/2021
s2,Course: 2020/2021 CA4025 Application Domains 3,System,Course viewed,The user with id 's2' viewed the course with id '48916'.,web,172.17.42.86,15:57,14/03/2021
s2,User: s2,System,Dashboard viewed,The user with id 's2' has viewed their dashboard,web,172.17.42.237,15:57,14/03/2021
s2,System,System,User has logged in,The user with id 's2' has logged in.,web,172.17.42.202,15:57,14/03/2021
s2,File: Ethics in Technology Practice: An Overview,File,Course module viewed,The user with id 's2' viewed the 'resource' activity with course module id '1184530'.,web,172.17.42.75,12:21,11/03/2021
s2,File: An Introduction to Data Ethics,File,Course module viewed,The user with id 's2' viewed the 'resource' activity with course module id '1187177'.,web,172.17.42.75,12:21,11/03/2021
s2,Course: 2019/2020 CA375 Professional &amp; Research Practice for Data Sci,System,Course viewed,The user with id 's2' viewed the course with id '31982'.,web,172.17.42.75,12:21,11/03/2021
s2,User: s2,System,Dashboard viewed,The user with id 's2' has viewed their dashboard,web,172.17.42.75,12:21,11/03/2021
s2,System,System,User has logged in,The user with id 's2' has logged in.,web,172.17.42.75,12:21,11/03/2021
s2,Quiz: CA4024 Continuous Assessment Quiz,Quiz,Quiz attempt reviewed,The user with id 's2' has had their attempt with id '1241414' reviewed by the user with id 's2' for the quiz with course module id '1530193'.,web,172.17.42.252,15:46,08/03/2021
s2,Quiz: CA4024 Continuous Assessment Quiz,Quiz,Course module viewed,The user with id 's2' viewed the 'quiz' activity with course module id '1530193'.,web,172.17.42.252,15:46,08/03/2021
s2,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's2' viewed the course with id '48726'.,web,172.17.42.36,15:46,08/03/2021
s2,User: s2,System,Dashboard viewed,The user with id 's2' has viewed their dashboard,web,172.17.42.195,15:46,08/03/2021
s2,System,System,User has logged in,The user with id 's2' has logged in.,web,172.17.42.75,15:46,08/03/2021
s2,User: s2,System,Dashboard viewed,The user with id 's2' has viewed their dashboard,web,172.17.42.36,15:41,06/03/2021
s2,System,System,User has logged in,The user with id 's2' has logged in.,web,172.17.42.195,15:41,06/03/2021
s2,System,System,User logged out,The user with id 's2' has logged out.,web,172.17.42.175,15:41,06/03/2021
s2,User: s2,System,Dashboard viewed,The user with id 's2' has viewed their dashboard,web,172.17.42.252,15:41,06/03/2021
s2,System,System,User has logged in,The user with id 's2' has logged in.,web,172.17.42.252,15:41,06/03/2021
s2,System,System,User logged out,The user with id 's2' has logged out.,web,172.17.42.75,15:41,06/03/2021
s2,User: s2,System,Dashboard viewed,The user with id 's2' has viewed their dashboard,web,172.17.42.36,15:40,06/03/2021
s2,File: CA4025 Essay Topic: Can AI police ?Big Tech??,File,Course module viewed,The user with id 's2' viewed the 'resource' activity with course module id '1508323'.,web,172.17.42.195,14:26,06/03/2021
s2,Course: 2020/2021 CA4025 Application Domains 3,System,Course viewed,The user with id 's2' viewed the course with id '48916'.,web,172.17.42.175,14:26,06/03/2021
s2,User: s2,System,Dashboard viewed,The user with id 's2' has viewed their dashboard,web,172.17.42.36,14:25,06/03/2021
s2,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's2' viewed the course with id '47567'.,web,172.17.42.36,14:25,06/03/2021
s2,Course: 2018/2019 CA273 Data Processing and Visualisation,User report,Grade user report viewed,The user with id 's2' viewed the user report in the gradebook.,web,172.17.42.252,14:25,06/03/2021
s2,Course: 2018/2019 CA273 Data Processing and Visualisation,System,Course viewed,The user with id 's2' viewed the course with id '26376'.,web,172.17.42.74,14:25,06/03/2021
s2,Course: 2018/2019 CA273 Data Processing and Visualisation,System,Course section created,The user with id 's2' created section number '15' for the course with id '26376',web,172.17.42.74,14:25,06/03/2021
s2,Course: 2018/2019 CA273 Data Processing and Visualisation,System,Course section created,The user with id 's2' created section number '14' for the course with id '26376',web,172.17.42.74,14:25,06/03/2021
s2,Course: 2018/2019 CA273 Data Processing and Visualisation,System,Course section created,The user with id 's2' created section number '13' for the course with id '26376',web,172.17.42.74,14:25,06/03/2021
s2,Course: 2018/2019 CA273 Data Processing and Visualisation,System,Course section created,The user with id 's2' created section number '12' for the course with id '26376',web,172.17.42.74,14:25,06/03/2021
s2,Course: 2018/2019 CA273 Data Processing and Visualisation,System,Course section created,The user with id 's2' created section number '11' for the course with id '26376',web,172.17.42.74,14:25,06/03/2021
s2,Course: 2018/2019 CA273 Data Processing and Visualisation,System,Course section created,The user with id 's2' created section number '10' for the course with id '26376',web,172.17.42.74,14:25,06/03/2021
s2,Course: 2018/2019 CA273 Data Processing and Visualisation,System,Course section created,The user with id 's2' created section number '9' for the course with id '26376',web,172.17.42.74,14:25,06/03/2021
s2,User: s2,System,Dashboard viewed,The user with id 's2' has viewed their dashboard,web,172.17.42.252,14:25,06/03/2021
s2,System,System,User has logged in,The user with id 's2' has logged in.,web,172.17.42.75,14:25,06/03/2021
s2,System,System,User has logged in,The user with id 's2' has logged in.,web,172.17.42.195,13:57,04/03/2021
s2,Course: DEVELOP,System,Course viewed,The user with id 's2' viewed the course with id '52833'.,web,172.17.42.36,17:11,03/03/2021
s2,System,System,User has logged in,The user with id 's2' has logged in.,web,172.17.42.36,17:11,03/03/2021
s2,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's2' viewed the course with id '47567'.,web,172.17.42.119,11:57,01/03/2021
s2,File: Assignment Two,File,Course module viewed,The user with id 's2' viewed the 'resource' activity with course module id '1535382'.,web,172.17.42.195,11:56,01/03/2021
s2,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's2' viewed the course with id '47567'.,web,172.17.42.36,11:56,01/03/2021
