User full name,Event context,Component,Event name,Description,Origin,IP address,loop time,date
s7,System,System,User has logged in,The user with id 's7' has logged in.,web,172.17.42.217,15:44,15/03/2021
s7,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's7' viewed the course with id '48726'.,web,172.17.42.217,21:02,14/03/2021
s7,User: s7,System,Dashboard viewed,The user with id 's7' has viewed their dashboard,web,172.17.42.30,21:02,14/03/2021
s7,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's7' viewed the course with id '47567'.,web,172.17.42.228,21:02,14/03/2021
s7,File: Assignment Two,File,Course module viewed,The user with id 's7' viewed the 'resource' activity with course module id '1535382'.,web,172.17.42.22,20:44,14/03/2021
s7,URL: A neural language model,URL,Course module viewed,The user with id 's7' viewed the 'url' activity with course module id '1549376'.,web,172.17.42.22,20:42,14/03/2021
s7,URL: Back Propagation,URL,Course module viewed,The user with id 's7' viewed the 'url' activity with course module id '1549374'.,web,172.17.42.86,20:41,14/03/2021
s7,URL: Training a neural net,URL,Course module viewed,The user with id 's7' viewed the 'url' activity with course module id '1549372'.,web,172.17.42.86,20:41,14/03/2021
s7,URL: A feedforward neural net for xor,URL,Course module viewed,The user with id 's7' viewed the 'url' activity with course module id '1549369'.,web,172.17.42.71,18:12,14/03/2021
s7,URL: Linear versus non-linear classifiers,System,Course activity completion updated,The user with id 's7' updated the completion state for the course module with id '1549368' for the user with id 's7'.,web,172.17.42.228,18:12,14/03/2021
s7,URL: A feedforward neural net for xor,URL,Course module viewed,The user with id 's7' viewed the 'url' activity with course module id '1549369'.,web,172.17.42.86,17:55,14/03/2021
s7,URL: Linear versus non-linear classifiers,URL,Course module viewed,The user with id 's7' viewed the 'url' activity with course module id '1549368'.,web,172.17.42.228,17:46,14/03/2021
s7,URL: Feedforward Neural Nets,System,Course activity completion updated,The user with id 's7' updated the completion state for the course module with id '1549367' for the user with id 's7'.,web,172.17.42.237,17:45,14/03/2021
s7,URL: Feedforward Neural Nets,URL,Course module viewed,The user with id 's7' viewed the 'url' activity with course module id '1549367'.,web,172.17.42.30,15:37,14/03/2021
s7,URL: Neural Units,System,Course activity completion updated,The user with id 's7' updated the completion state for the course module with id '1549366' for the user with id 's7'.,web,172.17.42.86,15:37,14/03/2021
s7,URL: Neural Units,URL,Course module viewed,The user with id 's7' viewed the 'url' activity with course module id '1549366'.,web,172.17.42.237,15:19,14/03/2021
s7,URL: Introduction to the feedforward neural net lectures,System,Course activity completion updated,The user with id 's7' updated the completion state for the course module with id '1549379' for the user with id 's7'.,web,172.17.42.30,15:19,14/03/2021
s7,URL: Introduction to the feedforward neural net lectures,URL,Course module viewed,The user with id 's7' viewed the 'url' activity with course module id '1549379'.,web,172.17.42.217,15:16,14/03/2021
s7,File: Week Seven Live Session Class Exercise,System,Course activity completion updated,The user with id 's7' updated the completion state for the course module with id '1546733' for the user with id 's7'.,web,172.17.42.71,15:15,14/03/2021
s7,File: Week Seven Live Session Class Exercise,System,Course activity completion updated,The user with id 's7' updated the completion state for the course module with id '1546733' for the user with id 's7'.,web,172.17.42.217,15:15,14/03/2021
s7,File: Week Seven Live Session Class Exercise,File,Course module viewed,The user with id 's7' viewed the 'resource' activity with course module id '1546733'.,web,172.17.42.202,15:14,14/03/2021
