User full name,Event context,Component,Event name,Description,Origin,IP address,loop time,date
s1,File: Assignment Two,File,Course module viewed,The user with id 's1' viewed the 'resource' activity with course module id '1535382'.,web,172.17.42.30,18:57,16/03/2021
s1,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's1' viewed the course with id '47567'.,web,172.17.42.217,18:57,16/03/2021
s1,User: s1,System,Dashboard viewed,The user with id 's1' has viewed their dashboard,web,172.17.42.217,18:57,16/03/2021
s1,System,System,User has logged in,The user with id 's1' has logged in.,web,172.17.42.30,18:57,16/03/2021
s1,System,System,User has logged in,The user with id 's1' has logged in.,web,172.17.42.86,18:54,15/03/2021
s1,Course: 2020/2021 CA4025 Application Domains 3,System,Course viewed,The user with id 's1' viewed the course with id '48916'.,web,172.17.42.71,23:27,14/03/2021
s1,User: s1,System,Dashboard viewed,The user with id 's1' has viewed their dashboard,web,172.17.42.228,23:27,14/03/2021
s1,System,System,User has logged in,The user with id 's1' has logged in.,web,172.17.42.30,23:27,14/03/2021
s1,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's1' viewed the course with id '47567'.,web,172.17.42.75,15:46,12/03/2021
s1,User: s1,System,Dashboard viewed,The user with id 's1' has viewed their dashboard,web,172.17.42.75,15:46,12/03/2021
s1,File: Assignment Two,File,Course module viewed,The user with id 's1' viewed the 'resource' activity with course module id '1535382'.,web,172.17.42.75,14:13,12/03/2021
s1,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's1' viewed the course with id '47567'.,web,172.17.42.75,14:12,12/03/2021
s1,File: Assignment 1,File,Course module viewed,The user with id 's1' viewed the 'resource' activity with course module id '1522590'.,web,172.17.42.75,14:12,12/03/2021
s1,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's1' viewed the course with id '47567'.,web,172.17.42.75,14:12,12/03/2021
s1,User: s1,System,Dashboard viewed,The user with id 's1' has viewed their dashboard,web,172.17.42.75,14:11,12/03/2021
s1,System,System,User has logged in,The user with id 's1' has logged in.,web,172.17.42.75,14:11,12/03/2021
s1,File: Recording of CA4024 W8 Synch Bifurcation+Chaos 1,File,Course module viewed,The user with id 's1' viewed the 'resource' activity with course module id '1546914'.,web,172.17.42.75,15:33,10/03/2021
s1,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's1' viewed the course with id '48726'.,web,172.17.42.75,15:33,10/03/2021
s1,User: s1,System,Dashboard viewed,The user with id 's1' has viewed their dashboard,web,172.17.42.75,15:32,10/03/2021
s1,System,System,User has logged in,The user with id 's1' has logged in.,web,172.17.42.75,15:32,10/03/2021
s1,Quiz: CA4024 Continuous Assessment Quiz,Quiz,Quiz attempt reviewed,The user with id 's1' has had their attempt with id '1241419' reviewed by the user with id 's1' for the quiz with course module id '1530193'.,web,172.17.42.195,15:50,08/03/2021
s1,Quiz: CA4024 Continuous Assessment Quiz,Quiz,Course module viewed,The user with id 's1' viewed the 'quiz' activity with course module id '1530193'.,web,172.17.42.195,15:49,08/03/2021
s1,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's1' viewed the course with id '48726'.,web,172.17.42.75,15:49,08/03/2021
s1,User: s1,System,Dashboard viewed,The user with id 's1' has viewed their dashboard,web,172.17.42.195,15:49,08/03/2021
s1,System,System,User has logged in,The user with id 's1' has logged in.,web,172.17.42.36,15:49,08/03/2021
s1,URL: Conditional Random Fields,URL,Course module viewed,The user with id 's1' viewed the 'url' activity with course module id '1538880'.,web,172.17.42.252,15:39,05/03/2021
s1,URL: Training a Hidden Markov Model,URL,Course module viewed,The user with id 's1' viewed the 'url' activity with course module id '1538674'.,web,172.17.42.75,15:18,05/03/2021
s1,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's1' viewed the course with id '47567'.,web,172.17.42.252,15:16,05/03/2021
s1,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's1' viewed the course with id '48726'.,web,172.17.42.36,14:59,05/03/2021
s1,User: s1,System,Dashboard viewed,The user with id 's1' has viewed their dashboard,web,172.17.42.252,14:59,05/03/2021
s1,System,System,User has logged in,The user with id 's1' has logged in.,web,172.17.42.252,14:59,05/03/2021
s1,File: CA4025 Essay Topic: Can AI police ‘Big Tech’?,File,Course module viewed,The user with id 's1' viewed the 'resource' activity with course module id '1508323'.,web,172.17.42.252,14:30,03/03/2021
s1,Course: 2020/2021 CA4025 Application Domains 3,System,Course viewed,The user with id 's1' viewed the course with id '48916'.,web,172.17.42.252,14:30,03/03/2021
s1,User: s1,System,Dashboard viewed,The user with id 's1' has viewed their dashboard,web,172.17.42.175,14:29,03/03/2021
s1,System,System,User has logged in,The user with id 's1' has logged in.,web,172.17.42.74,14:29,03/03/2021
s1,Folder: Difference Equations 1 Recorded Lectures,Folder,Course module viewed,The user with id 's1' viewed the 'folder' activity with course module id '1541489'.,web,172.17.42.119,15:39,02/03/2021
s1,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's1' viewed the course with id '48726'.,web,172.17.42.74,15:39,02/03/2021
s1,File: CA659: Discrete Models Lecture 1,File,Course module viewed,The user with id 's1' viewed the 'resource' activity with course module id '1541490'.,web,172.17.42.36,15:28,02/03/2021
s1,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's1' viewed the course with id '48726'.,web,172.17.42.119,15:28,02/03/2021
s1,URL: Fibonacci Numbers and Nature,URL,Course module viewed,The user with id 's1' viewed the 'url' activity with course module id '1541493'.,web,172.17.42.36,15:27,02/03/2021
s1,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's1' viewed the course with id '48726'.,web,172.17.42.74,15:27,02/03/2021
s1,File: CA659: Discrete Models Lecture 1,File,Course module viewed,The user with id 's1' viewed the 'resource' activity with course module id '1541490'.,web,172.17.42.252,15:27,02/03/2021
s1,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's1' viewed the course with id '48726'.,web,172.17.42.252,15:27,02/03/2021
s1,File: 7.2 - Fundamentals of Modeling,System,Course activity completion updated,The user with id 's1' updated the completion state for the course module with id '1539890' for the user with id 's1'.,web,172.17.42.252,15:18,02/03/2021
s1,File: 7.2 - Fundamentals of Modeling,System,Course activity completion updated,The user with id 's1' updated the completion state for the course module with id '1539890' for the user with id 's1'.,web,172.17.42.252,15:18,02/03/2021
s1,File: 7.2 - Fundamentals of Modeling,File,Course module viewed,The user with id 's1' viewed the 'resource' activity with course module id '1539890'.,web,172.17.42.252,15:18,02/03/2021
s1,File: 7.1 - Complex systems. Introduction to theory and applications,System,Course activity completion updated,The user with id 's1' updated the completion state for the course module with id '1539888' for the user with id 's1'.,web,172.17.42.74,15:18,02/03/2021
s1,File: 7.1 - Complex systems. Introduction to theory and applications,System,Course activity completion updated,The user with id 's1' updated the completion state for the course module with id '1539888' for the user with id 's1'.,web,172.17.42.74,15:18,02/03/2021
s1,File: 7.1 - Complex systems. Introduction to theory and applications,File,Course module viewed,The user with id 's1' viewed the 'resource' activity with course module id '1539888'.,web,172.17.42.74,15:18,02/03/2021
s1,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's1' viewed the course with id '48726'.,web,172.17.42.252,15:18,02/03/2021
s1,Folder: Difference Equations 1 Recorded Lectures,Folder,Course module viewed,The user with id 's1' viewed the 'folder' activity with course module id '1541489'.,web,172.17.42.119,15:18,02/03/2021
s1,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's1' viewed the course with id '48726'.,web,172.17.42.119,15:13,02/03/2021
s1,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's1' viewed the course with id '48726'.,web,172.17.42.119,12:00,02/03/2021
s1,User: s1,System,Dashboard viewed,The user with id 's1' has viewed their dashboard,web,172.17.42.175,12:00,02/03/2021
s1,System,System,User has logged in,The user with id 's1' has logged in.,web,172.17.42.36,12:00,02/03/2021
s1,Front page,System,Course viewed,The user with id 's1' viewed the course with id '1'.,ws,172.17.42.252,08:56,02/03/2021
