User full name,Event context,Component,Event name,Description,Origin,IP address,loop time,date
s5,Folder: Difference Equations 2 Recorded Lectures,Folder,Course module viewed,The user with id 's5' viewed the 'folder' activity with course module id '1543796'.,web,172.17.42.30,19:43,15/03/2021
s5,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's5' viewed the course with id '48726'.,web,172.17.42.22,19:43,15/03/2021
s5,File: CA659: Discrete Models Lecture 2,File,Course module viewed,The user with id 's5' viewed the 'resource' activity with course module id '1543790'.,web,172.17.42.237,19:43,15/03/2021
s5,Course: 2020/2021 CA4024 Building Complex Computational Models,System,Course viewed,The user with id 's5' viewed the course with id '48726'.,web,172.17.42.237,19:36,15/03/2021
s5,User: s5,System,Dashboard viewed,The user with id 's5' has viewed their dashboard,web,172.17.42.71,19:36,15/03/2021
s5,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's5' viewed the course with id '47567'.,web,172.17.42.237,19:35,15/03/2021
s5,URL: Pointwise Mutual Information,URL,Course module viewed,The user with id 's5' viewed the 'url' activity with course module id '1543984'.,web,172.17.42.217,19:34,15/03/2021
s5,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's5' viewed the course with id '47567'.,web,172.17.42.86,19:34,15/03/2021
s5,URL: Computing vector similarity,URL,Course module viewed,The user with id 's5' viewed the 'url' activity with course module id '1543982'.,web,172.17.42.237,19:34,15/03/2021
s5,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's5' viewed the course with id '47567'.,web,172.17.42.71,19:34,15/03/2021
s5,URL: Sparse Vectors,URL,Course module viewed,The user with id 's5' viewed the 'url' activity with course module id '1543981'.,web,172.17.42.86,19:24,15/03/2021
s5,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's5' viewed the course with id '47567'.,web,172.17.42.30,19:24,15/03/2021
s5,URL: Introducing Word Vectors,URL,Course module viewed,The user with id 's5' viewed the 'url' activity with course module id '1543979'.,web,172.17.42.228,19:16,15/03/2021
s5,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's5' viewed the course with id '47567'.,web,172.17.42.86,19:13,15/03/2021
s5,URL: Introducing Word Vectors,URL,Course module viewed,The user with id 's5' viewed the 'url' activity with course module id '1543979'.,web,172.17.42.71,19:11,15/03/2021
s5,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's5' viewed the course with id '47567'.,web,172.17.42.30,19:11,15/03/2021
s5,URL: HMM Viterbi,URL,Course module viewed,The user with id 's5' viewed the 'url' activity with course module id '1538854'.,web,172.17.42.217,18:54,15/03/2021
s5,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's5' viewed the course with id '47567'.,web,172.17.42.22,18:48,15/03/2021
s5,URL: Training a Hidden Markov Model,URL,Course module viewed,The user with id 's5' viewed the 'url' activity with course module id '1538674'.,web,172.17.42.22,18:44,15/03/2021
s5,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's5' viewed the course with id '47567'.,web,172.17.42.202,18:43,15/03/2021
s5,URL: Hidden Markov Models,URL,Course module viewed,The user with id 's5' viewed the 'url' activity with course module id '1538673'.,web,172.17.42.30,18:37,15/03/2021
s5,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's5' viewed the course with id '47567'.,web,172.17.42.71,18:37,15/03/2021
s5,URL: Part-of-speech tagging,URL,Course module viewed,The user with id 's5' viewed the 'url' activity with course module id '1541238'.,web,172.17.42.86,17:40,15/03/2021
s5,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's5' viewed the course with id '47567'.,web,172.17.42.86,17:40,15/03/2021
s5,URL: What is Sequence Labelling?,URL,Course module viewed,The user with id 's5' viewed the 'url' activity with course module id '1538672'.,web,172.17.42.30,17:33,15/03/2021
s5,Course: 2020/2021 CA4023 Natural Language Technologies,System,Course viewed,The user with id 's5' viewed the course with id '47567'.,web,172.17.42.71,17:32,15/03/2021
s5,URL: Multinomial Logistic Regression,URL,Course module viewed,The user with id 's5' viewed the 'url' activity with course module id '1531712'.,web,172.17.42.237,17:27,15/03/2021
